PvP Item Item Checklist,,,,,,,,,,,,
,,,,,,,,,,,,
Item Name,In-Game Link,Wowhead,Type,Bind,Effect,Cooldown,Shared CD,Profession,Zone,Location,Faction,Notes
Tidal Charm,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:1404::::::::60:::::\124h[Tidal Charm]\124h\124r"");",/item=1404,Trinket,BoP,Stuns target for 3 sec.,15 Min,,,Arathi Highlands,"Rare: Prince Nazjak (23,85)",,"Use Unitscan to look for the Rare; Respawn is 32-48Hrs, pushed back by Reset; Can bring Swimspeed Potion, Azure Silk Belt, Deepdive Helmet or Hydrocane, etc. to increase underwater mobility"
Arena Grand Master,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:19024::::::::60:::::\124h[Arena Grand Master]\124h\124r"");",/item=19024,Trinket,BoP,Absorbs 750-1250 damage. Lasts 20 sec.,30 Min,,,Stranglethorn Vale,"Quest: Arena Grandmaster (30,47)",,Requires Arena Master Quest Prereq.; Arena Master tokens obtained from chest in Gurubashi Arena
Nifty Stopwatch,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff1eff00\124Hitem:2820::::::::60:::::\124h[Nifty Stopwatch]\124h\124r"");",/item=2820,Trinket,BoP,Increases run speed by 40% for 10 sec.,30 Min,,,Badlands,"Quest: This Is Going to Be Hard (26,45)",,"Requires Quest Chain starting with Cooland Heads Prevail (26,45)"
Ultra-Flash Shadow Reflector,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:18639::::::::60:::::\124h[Ultra-Flash Shadow Reflector]\124h\124r"");",/item=18639,Trinket,BoE,Reflects Shadow spells back at their caster for 5 sec.,5 Min,,Engineering (300),Stratholme,Drop: Crimson Inquisitor,,4% Drop Rate
Gyrofreeze Ice Reflector,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:18634::::::::60:::::\124h[Gyrofreeze Ice Reflector]\124h\124r"");",/item=18634,Trinket,BoE,Reflects Frost spells back at their caster for 5 sec.,5 Min,,Engineering (260),Winterspring,"Vendor: Xizzer Fizzbolt (61,39)",,
Hyper-Radiant Flame Reflector,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cff0070dd\124Hitem:18638::::::::60:::::\124h[Hyper-Radiant Flame Reflector]\124h\124r"");",/item=18638,Trinket,BoE,Reflects Fire spells back at their caster for 5 sec.,5 Min,,Engineering (290),Blackrock Spire,Drop: Solakar Flamewrath,,8% Drop Rate
Gnomish Net-o-Matic Projector,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cffffffff\124Hitem:10720::::::::60:::::\124h[Gnomish Net-o-Matic Projector]\124h\124r"");",/item=10720,Trinket,BoE,Captures the target in a net for 10 sec. Can Misfire.,10 Min,,Engineering (210),Stranglethorn Vale; Ironforge,"Taught: (28,76); (70,50))",,"Requires Engineering (Gnome, 210) to make."
Goblin Mortar,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cffffffff\124Hitem:10577::::::::60:::::\124h[Goblin Mortar]\124h\124r"");",/item=10577,Trinket,BoE,Inflicts 383-517 Fire damage and stuns the targets in a 5 yard radius for 3 sec. (6 Charges),10 Min,Trinket,Engineering (205),Tanaris; Barrens,"Taught: (52,27); (63,36)",,"Requires Engineering (Goblin, 225) to make; Can be reloaded with Engineering (205)"
Gnomish Cloaking Device,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cffffffff\124Hitem:4397::::::::60:::::\124h[Gnomish Cloaking Device]\124h\124r"");",/item=4397,Trinket,BoE,Gives invisibility for 10 sec.,60 Min,,Engineering (200),Alterac Mountains; Gnomeragon,"Vendor: Alterac Mountains (84,19); Drop: Mekgineer Thermaplugg",,Zan Shivsporket is found in Ravenholdt; 0.3% from Mekgineer Thermaplugg
Gnomish Death Ray,"/script DEFAULT_CHAT_FRAME:AddMessage(""\124cffffffff\124Hitem:10645::::::::60:::::\124h[Gnomish Death Ray]\124h\124r"");",/item=10645,Trinket,BoP,Charges over time using your life force and then directs a burst of energy at your opponent.,5 Min,Trinket,,Stranglethorn Vale; Ironforge,"Taught: (28,76); (70,50))",,Requires Engineering (240) to be made; no requirement to be used
